generation,fitness,distanceFromTarget
1,0.3799999,30.33466
2,0.33,31.25702
3,34.56438,20.47981
4,42.56575,16.54913
5,41.78101,17.0615
6,44.46052,15.78675
7,47.18467,13.87466
8,44.40491,15.29454
9,42.19106,17.00648
10,42.35411,16.89495
11,42.8949,16.72456
12,43.82853,15.66773
13,43.0206,16.62171
14,41.9079,16.87805
15,45.24258,14.6557
16,45.90903,14.86249
17,43.28912,16.23745
18,43.69139,16.05631
19,43.43424,16.38989
20,43.8031,16.06546
21,42.5884,16.64281
22,43.69706,16.22348
23,44.76944,16.0373
24,50.33139,12.94131
25,44.82293,15.11553
26,49.14094,13.43654
27,44.7741,16.05497
28,44.08062,15.9467
29,47.68363,13.91519
30,44.91886,15.26257
31,51.51264,12.31569
32,44.8278,15.81312
33,49.90736,13.50834
34,58.66942,8.322293
35,51.25146,12.63628
36,46.77783,14.9231
37,47.62678,13.69861
38,45.76893,15.11754
39,44.92327,15.88538
40,54.93253,10.75575
41,47.17375,13.52011
42,46.85543,14.43929
43,57.43568,9.254168
44,47.0809,15.21158
45,55.80953,9.91224
46,59.8126,8.17071
47,61.641,7.126506
48,59.77649,8.413772
49,58.6045,8.659759
50,47.98396,14.26503
51,48.78378,12.6901
52,46.27746,15.14329
53,46.62789,14.76807
54,47.16295,14.76554
55,46.08735,14.38332
56,45.63012,15.39196
57,46.36444,15.2698
58,46.73379,14.81512
59,49.1657,13.41916
60,49.48703,13.17849
61,44.13956,16.04223
62,53.29397,11.37502
63,44.17645,15.30877
64,44.4937,15.81016
65,45.46238,15.39582
66,47.56924,14.43239
67,53.02512,11.74446
68,49.44317,13.69043
69,44.26239,16.23582
70,46.29173,14.97615
71,42.75621,16.4639
72,49.29787,14.1481
73,44.85092,16.50157
74,49.06691,13.71856
75,43.95678,16.45363
76,52.78605,11.83399
77,46.16326,15.38039
78,47.35439,14.57482
79,48.26754,14.03325
80,49.17596,13.50403
81,53.20874,11.58264
82,51.36001,12.62701
83,54.56019,10.40691
84,53.30359,11.49022
85,54.44099,11.08152
86,52.07175,12.03113
87,66.54809,4.207952
88,51.46352,12.34025
89,51.15106,12.34648
90,50.89582,12.5141
91,57.27015,9.191932
92,55.77799,10.37802
93,56.8482,9.56291
94,56.02636,9.898826
95,62.58267,6.750674
96,53.6214,11.02631
97,54.53006,10.73698
98,57.89717,9.373432
99,52.75749,11.77827
100,61.07994,7.762043
101,55.61967,10.26718
102,54.6242,10.63491
103,54.76267,10.65067
104,55.85227,10.24088
105,59.74148,8.336273
106,54.84102,10.6815
107,52.74043,10.73178
108,50.69497,12.73953
109,57.90203,9.035991
110,51.44409,12.24496
111,61.41203,6.795981
112,52.92596,11.79404
113,56.29296,9.865528
114,53.26822,11.4329
115,59.75589,7.98406
116,52.47978,11.98712
117,54.47794,10.80804
118,56.21602,9.723994
119,53.76294,11.16554
120,54.10118,11.16142
121,55.6675,10.13826
122,52.45464,11.97469
123,58.32685,8.753584
124,52.29053,12.00675
125,52.81144,10.72627
126,52.83556,11.52923
127,52.67588,11.59407
128,50.31647,13.01378
129,54.40873,10.95265
130,52.73511,11.71946
131,50.88594,12.56904
132,50.44769,12.93317
133,53.26031,11.16685
134,54.27293,10.86055
135,54.56761,10.8082
136,52.25253,12.05075
137,52.10918,11.89242
138,54.28945,10.88728
139,53.85264,11.03069
140,55.50409,10.62997
141,55.47085,10.17158
142,63.53054,6.111736
143,57.21748,9.37827
144,61.13345,7.340283
145,57.15739,9.35331
146,59.71118,8.106417
147,62.12166,6.806178
148,60.62716,7.613428
149,61.88286,7.060578
150,59.58361,7.995199
151,57.7681,9.402967
152,63.609,6.102507
153,57.74909,9.732479
154,58.15848,9.152775
155,57.15728,9.818377
156,62.33944,6.207274
157,57.72273,9.290645
158,54.58107,11.37149
159,59.91755,7.788229
160,55.54246,10.37578
161,61.28286,7.170575
162,57.46191,9.91607
163,69.60507,3.194471
164,64.86539,5.45431
165,66.15827,4.862871
166,54.73315,10.84544
167,59.46917,7.592411
168,64.85345,5.460278
169,66.47861,3.957682
170,66.71094,3.956523
171,64.16859,5.217698
172,63.10855,6.207729
173,61.69114,7.546448
174,64.66109,5.816463
175,63.79663,6.288701
176,59.75123,7.741386
177,61.60564,7.004184
178,64.32548,5.224256
179,63.04331,6.425352
180,66.86992,4.187043
181,68.26095,4.376544
182,69.39352,3.505257
183,70.59047,3.101782
184,68.85146,3.736282
185,72.92368,1.600172
186,68.11848,4.157775
187,64.40773,6.10815
188,67.36482,4.644605
189,67.21293,4.775553
190,67.32631,4.838865
191,61.81507,7.209478
192,66.6835,5.110268
193,68.28651,4.223764
194,67.50641,4.47381
195,66.71482,5.089606
196,67.4277,4.468164
197,69.03483,3.609598
198,66.95686,4.738586
199,66.58205,4.870992
200,69.49716,3.553434
201,68.62814,4.027949
202,69.11829,3.877873
203,63.66655,6.488738
204,61.38839,7.01281
205,55.04129,10.59137
206,57.73826,8.652868
207,58.5915,8.471257
208,58.93868,8.212661
209,54.86168,10.41117
210,54.82813,10.39794
211,58.82204,8.485985
212,56.32347,9.900275
213,57.80589,9.074064
214,56.6883,9.542858
215,56.89817,9.552925
216,55.096,10.219
217,56.69633,9.768845
218,56.99793,9.22804
