generation,fitness,distanceFromTarget
1,0.08999999,34.92597
1,0.23,25.66508
1,0.03,32.85645
1,0.07999999,32.54418
1,0.09999999,21.10513
1,0.04,29.74001
1,0.03,31.92649
1,0.03,35.3875
1,0.03,35.16111
1,0.21,15.49782
1,0.04,33.9643
1,0.05,25.52312
1,0.04,32.08555
1,0.18,31.15283
1,0.05,29.13446
1,0.03,28.60996
1,0.19,32.49835
1,0.13,32.3761
1,0.05999999,25.76693
1,0.24,33.47736
1,0.05,29.72308
1,0.12,31.76647
1,0.04,28.835
1,0.17,28.68365
1,0.05,28.3147
1,0.03,32.12992
1,0.21,17.56294
1,0.09999999,31.92439
1,0.05,26.86238
1,0.07999999,18.74103
1,0.06999999,30.81809
1,0.21,30.37018
1,0.18,29.93479
1,0.13,21.51231
1,0.03,32.43413
1,0.05,27.78289
1,0.03,33.11246
1,0.15,30.32893
1,0.2,20.75395
1,0.03,27.21012
2,0.13,31.95769
2,0.23,25.83195
2,0.15,29.95832
2,0.14,19.87608
2,0.14,31.25613
2,0.18,33.65647
2,0.12,34.40103
2,0.07999999,30.02468
2,0.24,33.40388
2,0.13,28.01621
2,0.13,32.8357
2,0.08999999,33.85939
2,0.19,34.23724
2,0.06999999,30.46154
2,0.07999999,25.95009
2,0.14,30.77219
2,0.03,29.61029
2,0.14,33.35211
2,0.14,33.69686
2,0.14,26.5204
2,0.13,32.66131
2,0.12,33.44104
2,0.04,28.17449
2,0.05,28.14255
2,0.21,30.14818
2,0.05,29.86075
2,0.13,30.08377
2,0.05,30.27465
2,0.19,33.19575
2,0.04,29.03837
2,0.5599998,25.92395
2,0.22,29.96162
2,0.16,32.00066
2,0.13,31.17745
2,0.28,30.51633
2,0.15,30.75385
2,0.08999999,30.66828
2,0.18,30.6739
2,0.21,33.81532
2,0.16,30.87838
3,0.13,32.79592
3,0.28,30.51518
3,0.13,32.5372
3,0.19,25.02512
3,0.13,30.39042
3,0.2,31.03337
3,0.13,32.6583
3,0.15,33.65219
3,0.18,27.60624
3,0.15,31.05374
3,0.17,26.39426
3,0.13,31.52112
3,0.16,33.79177
3,0.14,33.60066
3,0.11,32.03244
3,0.11,32.0358
3,0.14,33.31165
3,0.09999999,18.08202
3,0.21,26.51219
3,0.17,25.36396
3,0.18,30.43011
3,0.05999999,33.87909
3,0.18,30.36243
3,0.13,33.58871
3,0.06999999,28.26658
3,0.15,22.39644
3,0.14,32.94306
3,0.06999999,31.17415
3,0.08999999,28.30005
3,0.21,32.92479
3,0.13,33.65849
3,0.14,32.84344
3,0.2,10.74906
3,0.13,32.79573
3,0.21,30.961
3,0.14,31.77436
3,0.22,30.10617
3,0.14,32.7095
3,0.19,33.23686
3,0.14,33.61756
4,0.28,30.53031
4,0.12,32.61586
4,0.29,29.42789
4,0.15,26.36131
4,0.28,31.36421
4,0.15,29.31326
4,0.2,33.78126
4,0.16,31.46742
4,0.2,33.36518
4,0.21,33.74145
4,0.16,32.86032
4,0.22,30.63288
4,0.28,31.37523
4,0.13,33.13259
4,0.24,30.56672
4,0.22,30.64571
4,0.14,32.18147
4,0.12,26.33817
4,0.09999999,30.24176
4,0.17,32.01854
4,0.13,33.57909
4,0.27,30.90703
4,0.22,30.09187
4,0.28,31.36531
4,0.21,33.8979
4,0.06999999,30.75628
4,0.13,33.39141
4,0.22,33.53471
4,0.22,30.09963
4,0.29,33.50018
4,0.27,30.57099
4,0.29,33.9586
4,0.13,33.52106
4,0.18,26.49178
4,0.16,33.09068
4,0.28,30.73226
4,0.17,33.28754
4,0.14,32.70944
4,0.12,31.71318
4,0.27,31.39334
5,0.3899999,17.25044
5,0.28,31.3789
5,0.27,30.90745
5,0.28,31.36318
5,0.22,30.64641
5,0.21,34.0037
5,0.22,30.71005
5,0.21,33.89574
5,0.23,31.92774
5,0.16,34.0225
5,0.24,33.20314
5,0.16,31.58509
5,0.5199998,24.67062
5,7.492615,34.1057
5,0.18,28.31213
5,0.05999999,29.61619
5,0.28,29.78568
5,0.06999999,32.05142
5,0.19,34.06041
5,0.19,34.06214
5,0.19,34.05733
5,0.23,31.07638
5,0.28,31.36731
5,0.19,34.05712
5,0.4799998,32.08276
5,0.19,33.27761
5,0.22,29.6416
5,0.26,33.49797
5,0.3899999,32.24562
5,0.19,34.05922
5,0.3499999,31.4351
5,0.16,31.38509
5,0.21,28.89963
5,0.23,31.83108
5,0.22,30.09604
5,0.13,33.60591
5,0.11,34.81124
5,0.22,30.64124
5,0.19,33.81456
5,0.23,34.0626
6,0.29,32.03041
6,0.4299999,22.06894
6,0.31,31.3192
6,0.4099999,17.63708
6,0.32,34.79363
6,0.28,32.50895
6,0.27,33.18447
6,0.29,31.81891
6,0.26,29.21257
6,0.3399999,31.58511
6,0.22,33.26141
6,0.21,33.95088
6,0.25,31.84898
6,0.26,31.39638
6,0.29,32.00626
6,0.16,34.0409
6,0.13,33.60378
6,0.4199999,36.59605
6,0.24,29.01098
6,0.12,34.43504
6,0.28,33.15613
6,0.11,32.83619
6,0.05,29.6164
6,0.22,30.10772
6,0.25,34.50902
6,0.28,30.77305
6,0.28,33.57642
6,0.16,31.58297
6,0.28,32.0451
6,0.2,33.2895
6,0.3699999,32.63817
6,0.22,30.85295
6,0.15,34.70573
6,0.21,33.89657
6,0.26,25.33106
6,0.28,33.91775
6,0.18,31.52038
6,0.28,32.09889
6,0.27,35.67137
6,0.25,31.61424
7,0.4699998,18.38288
7,0.4199999,36.58834
7,0.23,31.07218
7,0.31,31.41554
7,0.25,33.25653
7,0.25,33.93131
7,0.5299998,25.07735
7,0.27,32.98732
7,0.28,34.12929
7,0.28,32.06179
7,0.26,33.92417
7,0.31,29.0986
7,0.7799996,33.10709
7,0.3899999,31.51935
7,0.26,34.64816
7,0.3599999,32.27823
7,0.3,33.40934
7,0.3,33.0648
7,0.31,31.10585
7,0.19,34.06018
7,0.24,35.5615
7,0.14,33.3638
7,0.24,32.30001
7,0.12,34.33895
7,0.24,35.30471
7,0.4099999,31.91259
7,0.32,32.75491
7,0.21,33.89421
7,0.21,37.21415
7,0.26,34.29909
7,0.31,31.3984
7,0.27,26.86865
7,0.26,27.28012
